PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-11-06,8.56, 13.34, -0.24, 3.26, 3.26, 8.42, suppf,
2022-11-07,9.36, 9.46, 1.74, 3.35, 3.35, 8.44, suppf,
2022-11-08,10.00, 15.09, -10.39, 3.37, 3.35, 8.64, suppf,
2022-11-09,10.07, 15.78, 7.37, 3.31, 3.31, 8.46, suppf,
2022-11-10,11.81, 5.43, -0.81, 3.31, 3.29, 8.72, suppf,
2022-11-11,11.22, 8.28, -12.43, 3.43, 3.41, 8.36, suppf,
2022-11-12,15.79, 12.98, 15.80, 3.2, 3.21, 8.45, suppf,
2022-11-13,8.80, 9.28, 8.39, 3.24, 3.25, 8.52, suppf,
2022-11-14,9.72, 10.18, 3.85, 3.21, 3.24, 8.66, suppf,
2022-11-15,13.69, 6.01, 8.66, 3.41, 3.4, 8.65, suppf,
2022-11-16,9.70, 11.73, 5.34, 3.52, 3.55, 8.83, suppf,
2022-11-17,9.00, 8.79, 10.20, 3.31, 3.33, 8.56, suppf,
2022-11-18,4.51, 12.57, -3.64, 3.41, 3.41, 8.42, suppf,
2022-11-19,11.59, 14.48, -2.23, 3.4, 3.38, 8.41, suppf,
2022-11-20,14.01, 18.75, -2.68, 3.46, 3.46, 8.59, suppf,
2022-11-21,11.66, 21.51, 4.63, 3.34, 3.34, 8.6, suppf,
2022-11-22,14.53, 17.57, -4.73, 3.38, 3.39, 8.72, suppf,
2022-11-23,16.19, 14.45, 1.35, 3.31, 3.31, 8.56, suppf,
2022-11-24,14.60, 12.12, -15.04, 3.29, 3.3, 8.59, suppf,
2022-11-25,16.20, 24.92, 0.46, 3.26, 3.25, 8.63, suppf,
2022-11-26,17.13, 16.24, -4.42, 3.39, 3.4, 8.85, suppf,
2022-11-27,15.21, 14.72, 2.12, 3.26, 3.29, 8.58, suppf,
2022-11-28,19.14, 18.18, -2.75, 3.45, 3.47, 8.65, suppf,
