PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KMBR
Station name, KMBR_KIVU_RW2022
Begin Date, 2022-08-06
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KMBR.cwu.igs14.pos
Offset from source file, -244.65 mm North, 23.00 mm East, 0.82 mm Vertical
Reference position, -1.8273626406 North Latitude, 29.2925859939 East Longitude, 1471.78216 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-11-05,5.28, 2.39, 14.70, 3.52, 3.64, 9.57, suppf,
2022-11-06,3.15, 6.96, 12.35, 3.26, 3.42, 9.26, suppf,
2022-11-07,4.69, -0.14, 18.66, 3.41, 3.49, 9.79, suppf,
2022-11-08,0.12, 5.30, 15.24, 3.4, 3.48, 9.67, suppf,
2022-11-09,4.32, 9.35, 9.30, 3.3, 3.44, 9.21, suppf,
2022-11-10,7.95, -1.86, 1.01, 3.35, 3.42, 9.8, suppf,
2022-11-11,3.08, -0.64, 5.62, 3.45, 3.55, 9.35, suppf,
2022-11-12,10.05, 4.44, 14.73, 3.21, 3.39, 9.54, suppf,
2022-11-13,5.74, -0.17, 15.70, 3.31, 3.4, 9.79, suppf,
2022-11-14,4.58, 2.76, 23.10, 3.19, 3.34, 9.21, suppf,
2022-11-15,2.55, -0.04, 9.35, 3.45, 3.52, 9.8, suppf,
2022-11-16,4.94, 5.34, 10.02, 3.53, 3.68, 9.77, suppf,
2022-11-17,4.44, -0.25, 21.93, 3.35, 3.47, 9.65, suppf,
2022-11-18,-1.67, 3.59, 14.87, 3.44, 3.56, 9.5, suppf,
2022-11-19,2.95, 6.69, 26.99, 3.42, 3.52, 9.51, suppf,
2022-11-20,8.39, 15.59, -1.30, 3.48, 3.59, 9.67, suppf,
2022-11-21,5.56, 11.07, 9.31, 3.32, 3.47, 9.22, suppf,
2022-11-22,8.84, 10.90, 1.26, 3.41, 3.5, 9.63, suppf,
2022-11-23,11.26, 9.02, -6.64, 3.32, 3.44, 9.51, suppf,
2022-11-24,7.55, 2.69, 3.28, 3.26, 3.42, 9.28, suppf,
2022-11-25,11.61, 17.47, -6.01, 3.31, 3.41, 9.86, suppf,
2022-11-26,11.17, 7.82, 5.07, 3.43, 3.53, 10.02, suppf,
2022-11-27,10.06, 8.58, -1.96, 3.29, 3.43, 9.62, suppf,
2022-11-28,13.46, 11.34, 2.60, 3.46, 3.62, 9.51, suppf,
2022-11-29,1.10, 6.87, 17.62, 3.21, 3.35, 9.4, suppf,
2022-11-30,7.42, -5.53, 20.38, 3.46, 3.58, 9.45, suppf,
2022-12-01,5.90, 5.58, 0.68, 3.58, 3.67, 9.94, suppf,
2022-12-02,10.61, 4.31, 6.48, 3.37, 3.5, 9.44, suppf,
2022-12-03,6.33, 1.66, 12.76, 3.4, 3.55, 9.3, suppf,
2022-12-04,6.72, 5.97, 1.80, 3.32, 3.47, 9.39, suppf,
2022-12-05,9.84, -0.71, 6.13, 3.26, 3.42, 9.34, suppf,
2022-12-06,5.69, 6.55, 10.56, 3.27, 3.38, 9.33, suppf,
2022-12-07,10.68, -8.64, 12.12, 3.41, 3.52, 9.33, suppf,
2022-12-08,4.91, 1.93, 8.00, 3.45, 3.56, 10.02, suppf,
2022-12-09,4.33, 1.57, 9.39, 3.28, 3.41, 9.21, suppf,
2022-12-10,11.63, 4.69, 11.56, 3.5, 3.57, 9.6, suppf,
2022-12-11,9.44, 8.09, 20.99, 3.44, 3.5, 10.17, suppf,
2022-12-12,7.91, 11.06, 8.33, 3.46, 3.54, 10.1, suppf,
2022-12-13,8.18, 8.01, 3.50, 3.39, 3.47, 10.15, suppf,
2022-12-14,2.51, 5.58, 11.72, 3.46, 3.57, 10.2, suppf,
2022-12-15,2.08, 0.03, 11.23, 3.38, 3.49, 9.73, suppf,
2022-12-16,2.43, -2.32, -1.22, 3.49, 3.65, 9.75, suppf,
2022-12-17,10.40, 4.82, 6.21, 3.51, 3.64, 9.48, suppf,
2022-12-18,6.49, -0.33, -0.50, 3.6, 3.69, 10.13, suppf,
2022-12-19,0.00, 3.31, 2.59, 3.65, 3.75, 9.75, suppf,
2022-12-20,9.12, 1.48, 6.99, 3.62, 3.7, 10.15, suppf,
2022-12-21,8.36, 0.30, 3.42, 3.66, 3.76, 9.73, suppf,
2022-12-22,8.32, -2.50, 1.07, 3.65, 3.75, 9.68, suppf,
2022-12-23,7.35, 4.19, 17.17, 3.8, 3.9, 9.93, suppf,
2022-12-24,1.20, -4.34, 5.00, 3.91, 3.97, 9.63, suppf,
2022-12-25,5.67, 2.08, 3.21, 3.74, 3.88, 9.36, suppf,
2022-12-26,3.53, 3.92, -0.34, 3.62, 3.77, 9.73, suppf,
2022-12-27,-3.34, 2.10, 2.17, 3.77, 3.94, 9.8, suppf,
2022-12-28,6.07, 9.45, -0.55, 3.61, 3.79, 10.33, suppf,
2022-12-29,10.95, 7.58, 4.53, 3.49, 3.63, 9.92, suppf,
2022-12-30,11.04, 11.39, 8.34, 3.51, 3.64, 9.44, suppf,
2022-12-31,-1.06, -0.92, 8.24, 3.56, 3.69, 9.88, suppf,
2023-01-01,-2.78, -1.96, 10.96, 3.61, 3.71, 10.22, suppf,
2023-01-02,1.89, -1.34, 4.78, 3.45, 3.6, 9.89, suppf,
2023-01-03,0.49, -3.25, 10.20, 3.51, 3.66, 9.93, suppf,
2023-01-04,3.44, 5.92, 1.56, 3.56, 3.68, 9.49, suppf,
2023-01-05,3.71, 1.58, 3.13, 3.47, 3.66, 9.56, suppf,
2023-01-06,0.56, -8.85, 20.68, 3.5, 3.65, 9.73, suppf,
2023-01-07,5.27, 2.68, 18.28, 3.44, 3.58, 9.52, suppf,
2023-01-08,2.71, 3.17, 4.73, 3.42, 3.6, 9.42, suppf,
2023-01-09,3.39, 6.05, 24.95, 3.4, 3.59, 9.56, suppf,
2023-01-10,8.76, 6.24, 14.62, 3.46, 3.65, 9.91, suppf,
2023-01-11,8.49, 4.99, 19.73, 3.47, 3.63, 9.63, suppf,
2023-01-12,17.04, 4.66, 10.41, 3.6, 3.67, 9.85, suppf,
2023-01-13,13.55, 5.54, 13.42, 3.65, 3.76, 9.54, suppf,
2023-01-14,13.53, 6.34, 36.08, 3.44, 3.55, 9.7, suppf,
2023-01-15,8.28, 15.29, 14.69, 3.46, 3.61, 9.64, suppf,
2023-01-16,7.52, 7.28, 9.77, 3.5, 3.63, 9.37, suppf,
2023-01-17,5.28, 8.23, 1.12, 3.51, 3.61, 10.1, suppf,
2023-01-18,6.04, 4.42, 7.65, 3.59, 3.69, 10.3, suppf,
2023-01-19,1.50, 9.12, 15.68, 3.57, 3.73, 9.64, suppf,
2023-01-20,5.78, 5.55, 12.04, 3.51, 3.65, 9.94, suppf,
2023-01-21,3.71, 3.22, 12.95, 3.63, 3.75, 9.99, suppf,
2023-01-22,6.15, 8.41, 8.23, 3.55, 3.66, 10.15, suppf,
2023-01-23,8.25, 9.50, 2.99, 3.57, 3.7, 9.99, suppf,
2023-01-24,6.01, 9.96, 12.83, 3.52, 3.63, 9.74, suppf,
2023-01-25,7.76, 4.92, 17.75, 3.94, 4.1, 10.28, suppf,
2023-01-26,1.68, 11.84, 17.67, 3.75, 3.86, 10.42, suppf,
2023-01-27,-1.02, 7.41, 9.54, 3.69, 3.79, 10.65, suppf,
2023-01-28,3.14, 9.93, 9.61, 3.59, 3.71, 9.98, suppf,
2023-01-29,1.00, 12.80, 10.09, 3.57, 3.68, 10.02, suppf,
2023-01-30,3.71, 8.68, 12.39, 3.56, 3.66, 10, suppf,
2023-01-31,5.06, 10.77, 2.86, 3.69, 3.77, 9.88, suppf,
2023-02-01,0.21, 13.68, 2.50, 3.64, 3.73, 9.84, suppf,
2023-02-02,-1.13, 10.61, 13.06, 3.75, 3.89, 9.84, suppf,
2023-02-03,6.92, 10.06, -4.37, 3.66, 3.81, 10.29, suppf,
2023-02-04,6.59, 9.78, 6.85, 3.62, 3.7, 9.75, suppf,
2023-02-05,9.60, 18.87, 6.65, 3.63, 3.7, 9.87, suppf,
2023-02-06,8.96, 12.29, 22.20, 3.71, 3.79, 9.78, suppf,
2023-02-07,6.35, 13.69, 1.83, 3.61, 3.73, 9.77, suppf,
2023-02-08,1.59, 8.25, 18.63, 3.59, 3.69, 10.1, suppf,
2023-02-09,5.20, 10.65, -6.81, 3.4, 3.49, 10.08, suppf,
2023-02-10,-0.02, 11.85, -2.28, 3.67, 3.74, 9.91, suppf,
2023-02-11,5.30, 19.37, 2.13, 3.54, 3.69, 9.94, suppf,
2023-02-12,8.15, 11.80, 19.86, 3.52, 3.69, 10.56, suppf,
2023-02-13,7.45, 15.53, 16.20, 3.63, 3.84, 10.37, suppf,
2023-02-14,0.84, 13.24, -0.94, 3.59, 3.74, 10.23, suppf,
2023-02-15,4.75, 1.33, 9.07, 3.74, 3.8, 10.25, suppf,
2023-02-16,6.71, 6.90, 9.50, 3.61, 3.7, 10.39, suppf,
2023-02-17,8.30, 12.61, 30.63, 3.64, 3.75, 10.48, suppf,
2023-02-18,10.36, 13.83, 23.44, 3.4, 3.51, 10.03, suppf,
2023-02-19,2.46, 6.04, 2.66, 3.49, 3.61, 9.78, suppf,
2023-02-20,3.62, 18.64, 9.10, 3.52, 3.65, 10.08, suppf,
2023-02-21,4.46, 8.20, 5.69, 3.48, 3.64, 9.68, suppf,
2023-02-22,2.13, 15.02, 19.69, 3.34, 3.46, 9.65, suppf,
2023-02-23,-2.65, 10.22, 2.39, 3.59, 3.76, 9.52, suppf,
2023-02-24,6.08, 13.86, 21.81, 3.39, 3.55, 10.05, suppf,
2023-02-25,6.82, 23.91, -2.59, 3.57, 3.73, 9.4, suppf,
2023-02-26,7.70, 15.20, 7.94, 3.62, 3.78, 9.37, suppf,
2023-02-27,10.73, 15.83, 1.13, 3.62, 3.72, 9.59, suppf,
2023-02-28,12.81, 17.25, 3.25, 3.29, 3.46, 9.39, suppf,
2023-03-01,10.12, 10.94, 12.80, 3.21, 3.4, 9.38, suppf,
2023-03-02,12.67, 6.69, 3.83, 3.51, 3.62, 9.74, suppf,
2023-03-03,7.92, 8.10, 11.41, 3.49, 3.64, 9.27, suppf,
2023-03-04,6.55, 10.01, 16.39, 3.41, 3.56, 9.35, suppf,
2023-03-05,4.08, 9.11, 15.28, 3.65, 3.78, 10.03, suppf,
2023-03-06,8.77, 10.82, 14.46, 3.58, 3.71, 10.14, suppf,
2023-03-07,12.35, 15.38, 32.74, 3.54, 3.62, 10.15, suppf,
2023-03-08,10.38, 18.50, 12.10, 3.72, 3.87, 10.32, suppf,
2023-03-09,7.27, -4.38, 13.89, 3.72, 3.83, 10.07, suppf,
2023-03-10,11.27, 11.66, 18.68, 3.55, 3.64, 10.22, suppf,
2023-03-11,7.76, 13.65, 18.44, 3.37, 3.58, 10.69, suppf,
2023-03-12,11.27, 13.32, 15.14, 3.36, 3.52, 9.44, suppf,
2023-03-13,15.15, 14.13, 29.27, 3.53, 3.77, 10.77, suppf,
2023-03-14,16.46, 12.72, 19.47, 3.59, 3.75, 9.53, suppf,
2023-03-15,8.17, 15.51, 4.48, 3.47, 3.6, 9.67, suppf,
