PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, RUBO
Station name, RUBO_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-27
Release Date, 2023-09-28
Source file, RUBO.cwu.igs14.pos
Offset from source file, -243.94 mm North, 22.07 mm East, 0.95 mm Vertical
Reference position, -1.7280349874 North Latitude, 29.2559456217 East Longitude, 1464.99799 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-12-21,9.73, -2.30, -2.03, 3.54, 3.73, 8.57, suppf,
2022-12-22,11.69, -6.44, -0.42, 3.53, 3.7, 8.43, suppf,
2022-12-23,10.12, 0.00, -21.09, 3.68, 3.83, 8.53, suppf,
2022-12-24,3.31, -5.99, -19.74, 3.79, 3.94, 8.45, suppf,
2022-12-25,11.51, 2.57, -4.70, 3.66, 3.85, 8.45, suppf,
2022-12-26,7.80, 5.23, -14.14, 3.52, 3.7, 8.59, suppf,
2022-12-27,1.88, 1.85, -16.71, 3.68, 3.9, 8.76, suppf,
2022-12-28,10.45, 6.85, -16.84, 3.47, 3.72, 8.83, suppf,
2022-12-29,14.95, 8.42, -10.67, 3.35, 3.55, 8.3, suppf,
2022-12-30,15.07, 5.19, -9.03, 3.41, 3.58, 8.43, suppf,
2022-12-31,3.82, -1.53, 0.64, 3.43, 3.64, 8.8, suppf,
2023-01-01,2.54, -9.23, 0.77, 3.44, 3.63, 8.58, suppf,
2023-01-02,6.48, -4.17, -11.11, 3.31, 3.54, 8.52, suppf,
2023-01-03,5.49, -6.97, -10.15, 3.38, 3.59, 8.47, suppf,
2023-01-04,6.52, -1.09, -0.08, 3.45, 3.64, 8.34, suppf,
2023-01-05,6.19, -5.84, 4.09, 3.37, 3.6, 8.55, suppf,
2023-01-06,6.18, -11.94, 10.81, 3.37, 3.58, 8.35, suppf,
2023-01-07,10.14, -1.57, -6.26, 3.31, 3.54, 8.42, suppf,
2023-01-08,10.06, -1.40, 4.00, 3.32, 3.55, 8.48, suppf,
2023-01-09,9.27, 3.79, -0.89, 3.29, 3.51, 8.44, suppf,
2023-01-10,14.11, 4.21, 2.68, 3.34, 3.55, 8.49, suppf,
2023-01-11,14.45, 2.53, -7.10, 3.37, 3.58, 8.59, suppf,
2023-01-12,21.41, 1.02, -2.80, 3.45, 3.65, 8.48, suppf,
2023-01-13,17.21, 7.19, -4.60, 3.55, 3.71, 8.48, suppf,
2023-01-14,15.83, 4.49, 2.29, 3.33, 3.54, 8.61, suppf,
