PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KANZ
Station name, kanz_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KANZ.cwu.igs14.pos
Offset from source file, -243.29 mm North, 22.75 mm East, 8.01 mm Vertical
Reference position, -1.6463465815 North Latitude, 29.3781144963 East Longitude, 2299.33814 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-11-07,8.85, 2.79, 3.92, 3.22, 3.27, 7.22, suppf,
2022-11-08,5.09, 10.63, 0.86, 3.22, 3.27, 7.33, suppf,
2022-11-09,6.58, 10.70, 6.74, 3.16, 3.23, 7.23, suppf,
2022-11-10,9.73, 2.75, 8.02, 3.13, 3.19, 7.34, suppf,
2022-11-11,6.98, 2.15, 1.39, 3.29, 3.34, 7.18, suppf,
2022-11-12,13.16, 9.43, 9.53, 3.05, 3.13, 7.33, suppf,
2022-11-13,7.26, 3.89, 4.37, 3.1, 3.18, 7.3, suppf,
2022-11-14,8.09, 6.95, 12.63, 3.05, 3.13, 7.26, suppf,
2022-11-15,9.10, 2.51, 4.12, 3.24, 3.31, 7.35, suppf,
2022-11-16,8.36, 6.71, 6.44, 3.36, 3.46, 7.48, suppf,
2022-11-17,6.62, 5.66, 0.05, 3.17, 3.25, 7.35, suppf,
2022-11-18,2.81, 7.03, 0.40, 3.28, 3.34, 7.28, suppf,
2022-11-19,7.76, 7.85, 1.80, 3.26, 3.32, 7.3, suppf,
2022-11-20,12.25, 16.27, -9.24, 3.31, 3.38, 7.29, suppf,
2022-11-21,9.00, 16.00, 1.00, 3.19, 3.26, 7.31, suppf,
2022-11-22,12.01, 12.93, -2.19, 3.22, 3.29, 7.23, suppf,
2022-11-23,10.98, 10.27, 6.91, 3.15, 3.21, 7.24, suppf,
2022-11-24,9.26, 5.28, 2.89, 3.13, 3.2, 7.26, suppf,
2022-11-25,10.61, 15.53, -5.45, 3.11, 3.18, 7.36, suppf,
2022-11-26,14.47, 7.43, 0.87, 3.22, 3.3, 7.34, suppf,
2022-11-27,13.40, 8.22, 7.66, 3.12, 3.19, 7.25, suppf,
2022-11-28,14.33, 12.30, 2.76, 3.31, 3.39, 7.38, suppf,
2022-11-29,6.72, 8.62, 4.52, 3.05, 3.11, 7.23, suppf,
2022-11-30,12.04, -5.37, 9.41, 3.29, 3.35, 7.21, suppf,
2022-12-01,9.12, 7.36, 2.01, 3.39, 3.43, 7.28, suppf,
2022-12-02,13.66, 4.43, 5.19, 3.24, 3.28, 7.33, suppf,
2022-12-03,9.33, 1.42, 8.74, 3.27, 3.32, 7.24, suppf,
2022-12-04,9.04, 2.59, 4.31, 3.18, 3.23, 7.28, suppf,
2022-12-05,13.26, 0.97, -0.07, 3.12, 3.2, 7.33, suppf,
2022-12-06,10.55, 7.39, 1.52, 3.11, 3.18, 7.35, suppf,
2022-12-07,14.06, -5.52, 8.26, 3.26, 3.32, 7.32, suppf,
2022-12-08,7.33, 4.03, 7.07, 3.25, 3.33, 7.35, suppf,
2022-12-09,9.44, 1.23, 0.41, 3.14, 3.19, 7.27, suppf,
2022-12-10,13.17, 3.55, 7.05, 3.31, 3.37, 7.26, suppf,
2022-12-11,15.47, 7.41, 4.94, 3.19, 3.25, 7.22, suppf,
2022-12-12,12.32, 11.40, 7.59, 3.24, 3.32, 7.31, suppf,
2022-12-13,10.36, 8.46, 3.55, 3.15, 3.21, 7.34, suppf,
2022-12-14,7.63, 10.76, -1.03, 3.25, 3.31, 7.52, suppf,
2022-12-15,6.27, 0.01, 3.84, 3.2, 3.26, 7.4, suppf,
