PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, IWAW.cwu.igs14.pos
Offset from source file, -242.43 mm North, 23.82 mm East, 5.38 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-11-24,12.90, -0.05, -0.57, 3.32, 3.37, 9.59, suppf,
2022-11-25,16.16, 11.49, -3.10, 3.29, 3.37, 9.58, suppf,
2022-11-26,17.90, 5.80, 4.91, 3.36, 3.46, 9.19, suppf,
2022-11-27,15.89, 3.65, 6.71, 3.29, 3.35, 9.37, suppf,
2022-11-28,17.52, 7.18, -1.22, 3.46, 3.54, 9.25, suppf,
2022-11-29,9.56, 2.21, 7.89, 3.22, 3.29, 9.33, suppf,
2022-11-30,12.52, -10.40, 16.67, 3.44, 3.48, 9.05, suppf,
2022-12-01,10.27, 3.04, -5.65, 3.57, 3.67, 9.99, suppf,
2022-12-02,16.12, -1.67, 20.35, 3.38, 3.43, 9.16, suppf,
2022-12-03,10.04, -3.21, 2.81, 3.43, 3.48, 9.35, suppf,
2022-12-04,12.06, -2.92, 7.06, 3.36, 3.4, 9.46, suppf,
2022-12-05,17.26, -4.47, -4.73, 3.33, 3.41, 10, suppf,
2022-12-06,10.43, 2.46, -3.24, 3.29, 3.33, 9.31, suppf,
2022-12-07,16.95, -9.88, -3.08, 3.44, 3.48, 9.36, suppf,
2022-12-08,8.83, -0.61, 5.96, 3.4, 3.46, 9.1, suppf,
2022-12-09,10.67, -4.29, -1.72, 3.3, 3.35, 9.28, suppf,
2022-12-10,15.52, -0.71, 5.04, 3.47, 3.55, 9.32, suppf,
2022-12-11,15.58, 0.29, 10.53, 3.38, 3.41, 9.35, suppf,
2022-12-12,14.59, 8.40, 7.01, 3.44, 3.51, 9.68, suppf,
2022-12-13,9.71, 2.73, -5.89, 3.32, 3.39, 9.46, suppf,
2022-12-14,8.74, 5.59, -6.71, 3.42, 3.54, 10.02, suppf,
2022-12-15,5.05, -6.47, -2.66, 3.38, 3.49, 9.91, suppf,
2022-12-16,8.41, -9.28, 8.52, 3.5, 3.54, 9.32, suppf,
2022-12-17,15.24, 1.06, -1.06, 3.51, 3.58, 9.22, suppf,
2022-12-18,10.31, -2.41, 10.06, 3.57, 3.7, 10.09, suppf,
2022-12-19,7.24, -0.27, 0.87, 3.64, 3.7, 9.54, suppf,
2022-12-20,15.26, -1.19, 0.24, 3.58, 3.66, 9.69, suppf,
2022-12-21,10.77, -2.17, 7.56, 3.66, 3.69, 9.49, suppf,
2022-12-22,11.51, -3.74, 12.10, 3.64, 3.69, 9.34, suppf,
2022-12-23,10.74, -2.38, -4.47, 3.8, 3.87, 9.69, suppf,
2022-12-24,6.19, -6.63, -5.01, 3.88, 3.91, 9.22, suppf,
2022-12-25,13.78, -1.26, -4.37, 3.79, 3.85, 9.64, suppf,
2022-12-26,12.89, 3.16, -14.64, 3.66, 3.7, 9.81, suppf,
2022-12-27,5.91, 0.88, -12.95, 3.81, 3.88, 9.85, suppf,
2022-12-28,11.57, 5.09, -5.48, 3.62, 3.69, 9.81, suppf,
2022-12-29,17.84, 4.63, -0.59, 3.49, 3.58, 9.76, suppf,
2022-12-30,18.16, 4.66, 2.30, 3.51, 3.54, 9.25, suppf,
2022-12-31,6.83, -1.30, 6.26, 3.51, 3.58, 9.31, suppf,
2023-01-01,4.44, -6.51, 12.24, 3.53, 3.61, 9.38, suppf,
2023-01-02,5.58, -3.29, 3.98, 3.44, 3.51, 9.44, suppf,
2023-01-03,4.82, -7.38, 7.43, 3.49, 3.54, 9.17, suppf,
2023-01-04,8.09, -1.29, -0.52, 3.57, 3.63, 9.4, suppf,
2023-01-05,6.57, -0.71, 7.27, 3.47, 3.57, 9.37, suppf,
2023-01-06,5.32, -8.61, 2.91, 3.47, 3.55, 9.08, suppf,
2023-01-07,11.24, 1.51, 14.48, 3.43, 3.49, 9.25, suppf,
2023-01-08,8.37, -1.12, 6.89, 3.45, 3.53, 9.46, suppf,
2023-01-09,7.45, 1.66, -3.05, 3.4, 3.5, 9.38, suppf,
2023-01-10,12.31, 0.99, -0.09, 3.47, 3.63, 9.96, suppf,
2023-01-11,13.14, 5.54, 8.58, 3.46, 3.53, 9.24, suppf,
2023-01-12,23.18, 3.09, 17.75, 3.58, 3.6, 9.28, suppf,
2023-01-13,19.39, 6.04, 18.02, 3.64, 3.68, 9.18, suppf,
2023-01-14,15.15, 8.19, 1.23, 3.43, 3.47, 9.22, suppf,
2023-01-15,10.88, 11.34, 9.84, 3.48, 3.55, 9.54, suppf,
2023-01-16,13.38, 6.86, -0.39, 3.51, 3.55, 9.07, suppf,
2023-01-17,10.46, 8.93, -1.94, 3.49, 3.51, 9.33, suppf,
2023-01-18,10.30, 1.46, 8.27, 3.53, 3.58, 9.55, suppf,
2023-01-19,7.82, 9.67, 7.75, 3.57, 3.61, 9.15, suppf,
2023-01-20,16.51, 1.92, 12.36, 3.51, 3.55, 9.47, suppf,
2023-01-21,5.70, 1.34, 7.66, 3.67, 3.66, 9.73, suppf,
2023-01-22,13.39, 9.29, -9.81, 3.56, 3.58, 9.68, suppf,
2023-01-23,15.15, 7.77, 11.13, 3.57, 3.6, 9.31, suppf,
2023-01-24,13.47, 8.14, 8.35, 3.49, 3.54, 9.25, suppf,
2023-01-25,13.32, 8.00, 8.55, 3.9, 3.96, 9.54, suppf,
2023-01-26,7.94, 8.75, 2.74, 3.7, 3.75, 9.57, suppf,
2023-01-27,9.28, 5.68, -3.96, 3.61, 3.72, 9.88, suppf,
2023-01-28,12.81, 8.23, 7.75, 3.57, 3.61, 9.36, suppf,
2023-01-29,13.03, 11.29, 0.11, 3.58, 3.7, 10.05, suppf,
2023-01-30,14.03, 8.02, -1.35, 3.5, 3.56, 9.26, suppf,
2023-01-31,12.90, 7.04, 0.65, 3.65, 3.7, 9.49, suppf,
2023-02-01,10.37, 8.42, -1.06, 3.61, 3.67, 9.45, suppf,
2023-02-02,5.68, 10.65, 2.60, 3.76, 3.81, 9.73, suppf,
2023-02-03,14.14, 6.98, 3.07, 3.63, 3.75, 9.92, suppf,
2023-02-04,13.67, 4.55, 9.48, 3.57, 3.61, 9.3, suppf,
2023-02-05,16.65, 15.29, -1.17, 3.64, 3.65, 9.55, suppf,
2023-02-06,17.28, 11.22, 20.73, 3.69, 3.75, 9.88, suppf,
2023-02-07,12.79, 8.26, -0.95, 3.62, 3.61, 9.41, suppf,
2023-02-08,12.40, 6.47, 6.10, 3.57, 3.61, 9.89, suppf,
2023-02-09,13.99, 9.76, -3.42, 3.35, 3.45, 9.68, suppf,
2023-02-10,8.35, 8.97, -13.11, 3.64, 3.65, 9.43, suppf,
2023-02-11,14.79, 15.99, -4.46, 3.52, 3.54, 9.35, suppf,
2023-02-12,16.11, 3.63, 11.95, 3.51, 3.53, 9.97, suppf,
2023-02-13,14.45, 14.03, 1.30, 3.6, 3.63, 9.43, suppf,
2023-02-14,10.88, 8.63, 7.78, 3.56, 3.58, 9.46, suppf,
2023-02-15,13.90, 0.07, 3.47, 3.76, 3.78, 10.44, suppf,
2023-02-16,17.18, 6.92, -2.56, 3.53, 3.56, 9.15, suppf,
2023-02-17,17.30, 9.64, 0.98, 3.62, 3.65, 10.12, suppf,
2023-02-18,18.87, 11.94, 11.66, 3.36, 3.38, 9.34, suppf,
2023-02-19,9.16, 2.82, -0.95, 3.48, 3.51, 9.17, suppf,
2023-02-20,13.71, 13.64, 2.92, 3.51, 3.55, 9.7, suppf,
2023-02-21,14.47, 6.61, 2.72, 3.47, 3.5, 9.25, suppf,
2023-02-22,13.79, 13.14, -2.78, 3.33, 3.39, 9.55, suppf,
2023-02-23,4.08, 3.84, -1.16, 3.63, 3.69, 9.83, suppf,
2023-02-24,12.23, 10.37, 3.80, 3.39, 3.38, 9.56, suppf,
2023-02-25,17.22, 17.50, 5.77, 3.61, 3.61, 9.3, suppf,
2023-02-26,15.79, 9.38, 8.07, 3.62, 3.67, 8.91, suppf,
2023-02-27,23.12, 10.14, 6.87, 3.59, 3.66, 9.16, suppf,
2023-02-28,21.13, 8.89, 7.18, 3.28, 3.35, 9.14, suppf,
2023-03-01,20.04, 6.52, 13.26, 3.17, 3.27, 8.56, suppf,
2023-03-02,19.37, 0.28, 13.95, 3.44, 3.56, 9.06, suppf,
2023-03-03,18.09, 4.73, -0.83, 3.45, 3.52, 8.63, suppf,
2023-03-04,15.35, 7.89, 8.68, 3.38, 3.47, 8.79, suppf,
2023-03-05,13.08, 1.57, 5.09, 3.57, 3.61, 8.64, suppf,
2023-03-06,18.96, 3.86, 13.09, 3.5, 3.55, 8.8, suppf,
2023-03-07,23.88, 12.22, 8.56, 3.45, 3.53, 8.92, suppf,
2023-03-08,21.74, 11.00, 15.88, 3.62, 3.74, 8.88, suppf,
2023-03-09,16.89, -4.30, 6.34, 3.68, 3.75, 9.47, suppf,
2023-03-10,21.72, 8.95, 17.70, 3.44, 3.53, 8.92, suppf,
2023-03-11,17.68, 8.03, 16.43, 3.27, 3.39, 9.1, suppf,
2023-03-12,23.84, 8.82, 0.47, 3.29, 3.38, 8.54, suppf,
2023-03-13,26.64, 11.74, 9.49, 3.43, 3.56, 9.34, suppf,
2023-03-14,23.70, 6.33, 24.76, 3.52, 3.61, 8.61, suppf,
2023-03-15,18.10, 8.80, 11.51, 3.41, 3.47, 8.66, suppf,
