> -L"kivu_presumed_faults_right"
29.1640241631	-2.19169242859
29.1640241631	-2.18418137812
29.1636850715	-2.1800587555
29.1636285562	-2.17763035607
> -L"240ft"
28.9000413617	-2.33778317862
28.9070492545	-2.32637655033
28.9149613915	-2.31417926159
28.9214041317	-2.3031112606
28.9268295971	-2.29170435329
28.9324811236	-2.28007147303
28.9393759859	-2.26945497594
28.9418626575	-2.26403375585
28.9433320544	-2.25093239034
28.9464969092	-2.24392988802
28.953278741	-2.23478140707
28.9553132905	-2.22710115681
28.95520026	-2.21106285822
28.9565566264	-2.20586731581
28.9609083017	-2.1971139153
28.9674075572	-2.18723098209
28.9731155989	-2.17763035607
28.9792192475	-2.1706839826
28.9858880487	-2.16481060127
28.9910309378	-2.16012317484
28.9934610942	-2.15549220922
28.9944218537	-2.15091770496
28.9934045789	-2.14030028422
28.9932915484	-2.13154650436
28.9938567011	-2.12386572748
28.9968520101	-2.12222790982
29.0022209602	-2.12019475444
29.0072508188	-2.11765330647
29.0123937079	-2.11471651695
29.019684177	-2.11025484533
29.0294613178	-2.10398589268
29.0374864854	-2.09720861823
29.0426293745	-2.09280337409
29.0479418094	-2.08800277344
29.0528586374	-2.08444467172
29.056503872	-2.08167725372
29.060572971	-2.07876863568
29.061957595	-2.07749787854
> -L"57ft"
28.8833128433	-2.50257579856
28.8911119498	-2.48224955044
28.8952940794	-2.47140875679
28.8991371174	-2.4621488421
28.9043365218	-2.45153373878
28.9103271398	-2.43933755871
28.9137180557	-2.43120671053
> -L"253ft"
29.0594144081	-2.01184071652
29.0703783695	-2.00246493852
29.0817944529	-1.99342799328
29.0881241626	-1.98936135173
> -L"253ft"
29.1412485114	-1.88210012384
29.14949974	-1.87374035696
29.1518733811	-1.86854372499
29.1528906559	-1.86255628214
29.1520994422	-1.85543910663
29.1498388316	-1.84922567602
29.1483694347	-1.84662732586
29.1480303431	-1.84233439117
29.1488215569	-1.83939711411
29.151421259	-1.83521713458
29.1557164191	-1.83137606369
29.1577509687	-1.82730903847
29.1595594571	-1.82233821737
29.1618200677	-1.81454303849
29.1626112814	-1.81002407881
29.162950373	-1.8074256719
29.1643067394	-1.80448833787
29.1669064416	-1.79940447929
29.1693931132	-1.79443358165
> -L"253ft"
29.0203623602	-1.70797737566
29.0231881234	-1.6995038336
29.0264660088	-1.69374180374
29.0281614667	-1.68764081228
29.0301960163	-1.67905419929
29.0336999627	-1.67385702046
29.0377690617	-1.67103246097
29.0435336187	-1.66730403622
29.0464724125	-1.66131594533
29.0471505957	-1.65679661943
29.0481678704	-1.65069551312
29.0498633284	-1.64448140411
29.0517848474	-1.64052696102
29.0548366717	-1.63781533839
29.058114557	-1.63589460347
29.0630879003	-1.63182715875
29.0667048772	-1.6292285092
29.0722433732	-1.6247091107
> -L"253ft"
29.0353954206	-1.80321737455
29.03313481	-1.79327558651
29.0322305658	-1.78559325874
29.0358475427	-1.77971851584
29.036751787	-1.7706804133
29.0387863365	-1.7657094381
29.0476027178	-1.75915676867
29.0548366717	-1.75034452178
