# dataset: GeoCSV 2.0
# field_unit: ISO 8601 datetime UTC, meters, meters, meters, meters, meters, meters, number, number, number, degrees north, degrees east, meters, meters, meters, meters, meters, meters, meters, number, number, number, UTF-8
# field_type: string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string
# attribution: http://www.unavco.org/community/policies_forms/attribution/attribution.html
# Request URI: http://ws-prod1.int.unavco.org:9030/gps/data/position/BNZA/v3?analysisCenter=cwu&referenceFrame=igs14&report=long&dataPostProcessing=Uncleaned&refCoordOptio=from_analysis_center
# Source File: BNZA.cwu.igs14.pos Date Modified: 2022-12-01 00:31:27
# XYZ Reference Coordinate(igs14): X:  5560783.86623 Y:  3120220.77864 Z:  -209865.88661
# Applied Offset: X: 0 Y: 0 Z: 0
Datetime, X, Y, Z, Std Dev X, Std Dev Y, Std Dev Z, Corr XY, Corr XZ, Corr YZ, N latitude, E longitude, Height, delta N, delta E, delta U, Std Dev N, Std Dev E, Std Dev U, Corr NE, Corr NU, Corr EU, Solution
2022-09-28T00:00:00Z,5560783.87882,3120220.74899,-209865.64811,0.00752,0.00460,0.00321,0.81300,-0.10100,-0.06400,-1.8977890493,29.2972916389,1709.01783,0.23825,-0.03202,-0.01143,0.00237,0.00319,0.00850,0.04669,-0.02282,-0.01984,final
2022-09-29T00:00:00Z,5560783.88064,3120220.75823,-209865.64321,0.00736,0.00458,0.00320,0.81000,-0.09100,-0.05800,-1.8977890033,29.2972917032,1709.02377,0.24335,-0.02485,-0.00548,0.00237,0.00319,0.00834,0.04095,0.00265,-0.01195,final
2022-09-30T00:00:00Z,5560783.87965,3120220.75239,-209865.64136,0.00688,0.00431,0.00312,0.80000,-0.10400,-0.07000,-1.8977889876,29.2972916618,1709.01999,0.24508,-0.02946,-0.00926,0.00228,0.00310,0.00780,0.03870,0.00448,-0.02957,final
2022-10-01T00:00:00Z,5560783.88599,3120220.76111,-209865.64353,0.00707,0.00442,0.00307,0.80700,-0.10100,-0.07000,-1.8977890043,29.2972917023,1709.02985,0.24323,-0.02496,0.00060,0.00230,0.00305,0.00802,0.03542,0.00752,-0.02278,final
2022-10-02T00:00:00Z,5560783.87660,3120220.75735,-209865.64023,0.00719,0.00451,0.00317,0.80700,-0.07000,-0.04400,-1.8977889775,29.2972917141,1709.01972,0.24620,-0.02364,-0.00953,0.00235,0.00316,0.00816,0.03238,0.01290,0.00673,final
2022-10-03T00:00:00Z,5560783.87683,3120220.75784,-209865.64197,0.00675,0.00430,0.00309,0.80200,-0.10800,-0.07300,-1.8977889931,29.2972917169,1709.02022,0.24447,-0.02333,-0.00904,0.00226,0.00307,0.00768,0.03967,0.03271,-0.03383,final
2022-10-04T00:00:00Z,5560783.88143,3120220.75638,-209865.63927,0.00684,0.00431,0.00312,0.81000,-0.12100,-0.08500,-1.8977889677,29.2972916853,1709.02342,0.24728,-0.02685,-0.00583,0.00222,0.00310,0.00778,0.04062,0.02286,-0.04677,final
2022-10-05T00:00:00Z,5560783.88162,3120220.75397,-209865.64335,0.00708,0.00437,0.00307,0.79700,-0.08900,-0.05600,-1.8977890049,29.2972916656,1709.02255,0.24317,-0.02905,-0.00671,0.00234,0.00306,0.00799,0.03888,-0.02148,-0.01033,final
2022-10-06T00:00:00Z,5560783.88500,3120220.75805,-209865.64278,0.00694,0.00433,0.00306,0.79000,-0.13100,-0.08900,-1.8977889982,29.2972916827,1709.02748,0.24390,-0.02714,-0.00178,0.00235,0.00304,0.00784,0.04575,-0.01047,-0.05352,final
2022-10-07T00:00:00Z,5560783.88501,3120220.76623,-209865.63764,0.00704,0.00449,0.00314,0.80300,-0.14100,-0.10700,-1.8977889506,29.2972917467,1709.03131,0.24917,-0.02001,0.00205,0.00235,0.00311,0.00802,0.03168,0.03561,-0.06610,final
2022-10-08T00:00:00Z,5560783.87756,3120220.76047,-209865.64603,0.00702,0.00438,0.00317,0.79700,-0.09100,-0.05200,-1.8977890292,29.2972917343,1709.02227,0.24048,-0.02139,-0.00698,0.00234,0.00316,0.00794,0.04855,-0.00461,-0.01446,final
2022-10-09T00:00:00Z,5560783.87460,3120220.76263,-209865.64253,0.00673,0.00424,0.00311,0.79500,-0.09500,-0.05800,-1.8977889981,29.2972917642,1709.02064,0.24393,-0.01806,-0.00862,0.00227,0.00310,0.00763,0.04428,0.00890,-0.02118,final
2022-10-10T00:00:00Z,5560783.87291,3120220.76631,-209865.63434,0.00696,0.00432,0.00308,0.80200,-0.10600,-0.07500,-1.8977889239,29.2972918006,1709.02069,0.25212,-0.01402,-0.00856,0.00228,0.00306,0.00787,0.03387,-0.00838,-0.03027,final
